algorithm,dataset,threshold,mu,total_twu,runtime_ms,memory_kb,managed_memory_kb,total_rss_kb,closed_hui_count,max_hui_count,candidates_count,max_hui_checks
MaxCHuim,BMS-POS,0.01,943713,94371330,161788.49,1139633.3333333333,904417.0,1413530.6666666667,236.0,82.0,425.0,236.0
MaxCHuim,BMS-POS,0.03,2831139,94371330,40753.96,532020.0,526914.6666666666,814830.6666666666,16.0,9.0,37.0,16.0
MaxCHuim,BMS-POS,0.05,4718566,94371330,7857.849999999999,267177.3333333333,316124.0,561396.0,4.0,3.0,15.0,4.0
MaxCHuim,BMS-POS,0.07,6605993,94371330,1854.3,189798.66666666666,248743.0,475408.0,3.0,2.0,8.0,3.0
MaxCHuim,BMS-POS,0.09,8493419,94371330,1647.0466666666669,181028.0,235197.33333333334,472996.0,1.0,1.0,5.0,1.0
MaxCHuim,accidents,0.13,43831337,337164136,734479.2266666667,2306162.6666666665,1956450.3333333333,2836970.6666666665,118.0,13.0,1033.0,118.0
MaxCHuim,accidents,0.14,47202979,337164136,514451.5966666667,2242249.3333333335,1884034.6666666667,2802850.6666666665,23.0,5.0,501.0,23.0
MaxCHuim,accidents,0.15,50574620,337164136,351656.87000000005,1927168.0,1773827.3333333333,2467194.6666666665,3.0,2.0,260.0,3.0
MaxCHuim,chess,0.1,343752,3437520,333871.6433333333,1258725.3333333333,1179381.0,1313704.0,5324125.0,4142.0,10331798.0,5324125.0
MaxCHuim,chess,0.15,515628,3437520,26071.47,182985.33333333334,132971.66666666666,237886.66666666666,294026.0,354.0,902525.0,294026.0
MaxCHuim,chess,0.2,687504,3437520,2386.9966666666664,35545.333333333336,29005.666666666668,90476.0,11477.0,37.0,66620.0,11477.0
MaxCHuim,connect,0.2,18004254,90021272,127856.45,154317.33333333334,214008.0,361152.0,73934.0,643.0,202934.0,73934.0
MaxCHuim,connect,0.25,22505318,90021272,52064.59,306318.6666666667,222920.0,511398.6666666667,2709.0,84.0,57798.0,2709.0
MaxCHuim,connect,0.3,27006381,90021272,5780.243333333333,169748.0,210403.33333333334,376109.3333333333,0.0,0.0,2567.0,0.0
MaxCHuim,connect,0.35,31507445,90021272,1769.7300000000002,188732.0,162558.0,391401.3333333333,0.0,0.0,62.0,0.0
MaxCHuim,connect,0.4,36008508,90021272,1518.5,170752.0,154800.0,375937.3333333333,0.0,0.0,18.0,0.0
MaxCHuim,mushroom,0.001,5418,5418324,272990.2033333333,173284.0,168859.0,234690.66666666666,655181.0,45760.0,511375.0,655181.0
MaxCHuim,mushroom,0.003,16254,5418324,38742.806666666664,93890.66666666667,82734.66666666667,155225.33333333334,262742.0,20096.0,255209.0,262742.0
MaxCHuim,mushroom,0.005,27091,5418324,12227.473333333333,70489.33333333333,62854.333333333336,131724.0,150353.0,11457.0,164226.0,150353.0
MaxCHuim,mushroom,0.007,37928,5418324,5589.143333333333,59172.0,50260.666666666664,120410.66666666667,96953.0,6707.0,118595.0,96953.0
