algorithm,dataset,threshold,mu,total_twu,runtime_ms,memory_kb,managed_memory_kb,total_rss_kb,closed_hui_count,max_hui_count,candidates_count,max_hui_checks
MaxCHuim,chess,0.1,1874214,18742148,362010.4533333333,2513670.6666666665,2321263.3333333335,2568160.0,8813822.0,3219.0,11863856.0,8813822.0
MaxCHuim,chess,0.15,2811322,18742148,28156.45,240660.0,197135.33333333334,295032.0,489543.0,308.0,962485.0,489543.0
MaxCHuim,chess,0.2,3748429,18742148,2400.09,41381.333333333336,38171.333333333336,95785.33333333333,20738.0,38.0,67476.0,20738.0
MaxCHuim,chess,0.25,4685537,18742148,691.2233333333334,66126.66666666667,34243.333333333336,120609.33333333333,289.0,6.0,2863.0,289.0
MaxCHuim,connect,0.2,147228471,736142359,167089.15333333332,198156.0,242883.33333333334,403966.6666666667,215982.0,261.0,281169.0,215982.0
MaxCHuim,connect,0.25,184035589,736142359,65619.50666666667,351304.0,195084.66666666666,555462.6666666666,26445.0,79.0,84188.0,26445.0
MaxCHuim,connect,0.3,220842707,736142359,6467.756666666667,173406.66666666666,213717.0,379692.0,335.0,7.0,3614.0,335.0
MaxCHuim,connect,0.35,257649825,736142359,1819.3233333333335,161228.0,162983.66666666666,363661.3333333333,0.0,0.0,71.0,0.0
MaxCHuim,mushroom,0.2,5902045,29510229,360.3233333333333,20269.333333333332,27402.666666666668,80552.0,0.0,0.0,16.0,0.0
MaxCHuim,mushroom,0.25,7377557,29510229,318.09,18961.333333333332,25285.666666666668,79922.66666666667,0.0,0.0,11.0,0.0
MaxCHuim,mushroom,0.3,8853068,29510229,300.26666666666665,17230.666666666668,23373.666666666668,78624.0,0.0,0.0,8.0,0.0
MaxCHuim,mushroom,0.35,10328580,29510229,298.02,14796.0,22214.0,75624.0,0.0,0.0,5.0,0.0
MaxCHuimBitmax,chess,0.1,1874214,18742148,336216.2233333333,2175973.3333333335,2105449.6666666665,2229870.6666666665,8813822.0,3219.0,11863856.0,8813822.0
MaxCHuimBitmax,chess,0.15,2811322,18742148,27679.433333333334,208822.66666666666,173577.0,262886.6666666667,489543.0,308.0,962485.0,489543.0
MaxCHuimBitmax,chess,0.2,3748429,18742148,2415.0099999999998,43702.666666666664,35408.666666666664,97806.66666666667,20738.0,38.0,67476.0,20738.0
MaxCHuimBitmax,chess,0.25,4685537,18742148,645.1933333333333,59702.666666666664,35269.666666666664,113485.33333333333,289.0,6.0,2863.0,289.0
MaxCHuimBitmax,connect,0.2,147228471,736142359,165908.70333333334,205049.33333333334,241636.66666666666,407304.0,215982.0,261.0,281169.0,215982.0
MaxCHuimBitmax,connect,0.25,184035589,736142359,65547.34000000001,350034.6666666667,194427.66666666666,553424.0,26445.0,79.0,84188.0,26445.0
MaxCHuimBitmax,connect,0.3,220842707,736142359,6490.416666666667,178538.66666666666,214251.0,381996.0,335.0,7.0,3614.0,335.0
MaxCHuimBitmax,connect,0.35,257649825,736142359,1815.6133333333335,174006.66666666666,163574.66666666666,377749.3333333333,0.0,0.0,71.0,0.0
MaxCHuimBitmax,mushroom,0.2,5902045,29510229,351.56333333333333,21382.666666666668,27409.0,81922.66666666667,0.0,0.0,16.0,0.0
MaxCHuimBitmax,mushroom,0.25,7377557,29510229,329.46,19378.666666666668,25287.0,79738.66666666667,0.0,0.0,11.0,0.0
MaxCHuimBitmax,mushroom,0.3,8853068,29510229,305.41333333333336,16822.666666666668,23375.333333333332,76066.66666666667,0.0,0.0,8.0,0.0
MaxCHuimBitmax,mushroom,0.35,10328580,29510229,300.09999999999997,14285.333333333334,22214.666666666668,74089.33333333333,0.0,0.0,5.0,0.0
