algorithm,dataset,threshold,mu,total_twu,attempt,runtime_ms,memory_kb,managed_memory_kb,total_rss_kb,closed_hui_count,max_hui_count,candidates_count,max_hui_checks
MaxCHuim,connect,0.4,36008508,90021272,1,1513.13,170500,155480,375808,0,0,18,0
MaxCHuim,connect,0.4,36008508,90021272,2,1522.09,169904,154774,375008,0,0,18,0
MaxCHuim,connect,0.4,36008508,90021272,3,1520.28,171852,154146,376996,0,0,18,0
MaxCHuimBitmax,connect,0.4,36008508,90021272,1,1513.58,144576,155770,340348,0,0,18,0
MaxCHuimBitmax,connect,0.4,36008508,90021272,2,1518.52,172208,154589,377368,0,0,18,0
MaxCHuimBitmax,connect,0.4,36008508,90021272,3,1505.51,197832,154544,397648,0,0,18,0
MaxCHuim,connect,0.35,31507445,90021272,1,1774.42,183588,162584,387880,0,0,62,0
MaxCHuim,connect,0.35,31507445,90021272,2,1764.94,181988,162555,386376,0,0,62,0
MaxCHuim,connect,0.35,31507445,90021272,3,1769.83,200620,162535,399948,0,0,62,0
MaxCHuimBitmax,connect,0.35,31507445,90021272,1,1797.82,173816,162266,377520,0,0,62,0
MaxCHuimBitmax,connect,0.35,31507445,90021272,2,1784.24,188844,162908,391408,0,0,62,0
MaxCHuimBitmax,connect,0.35,31507445,90021272,3,1790.64,173536,163022,376784,0,0,62,0
MaxCHuim,connect,0.3,27006381,90021272,1,5761.38,174756,210649,380412,0,0,2567,0
MaxCHuim,connect,0.3,27006381,90021272,2,5671.14,162160,210146,371864,0,0,2567,0
MaxCHuim,connect,0.3,27006381,90021272,3,5908.21,172328,210415,376052,0,0,2567,0
MaxCHuimBitmax,connect,0.3,27006381,90021272,1,5875.51,170452,204720,376404,0,0,2567,0
MaxCHuimBitmax,connect,0.3,27006381,90021272,2,5924.99,173956,211437,379604,0,0,2567,0
MaxCHuimBitmax,connect,0.3,27006381,90021272,3,5838.10,172992,210459,378140,0,0,2567,0
MaxCHuim,connect,0.25,22505318,90021272,1,52053.36,373176,296020,577292,2709,84,57798,2709
MaxCHuim,connect,0.25,22505318,90021272,2,51939.45,364400,194099,570244,2709,84,57798,2709
MaxCHuim,connect,0.25,22505318,90021272,3,52200.96,181380,178641,386660,2709,84,57798,2709
MaxCHuimBitmax,connect,0.25,22505318,90021272,1,52603.90,199980,169264,406040,2709,84,57798,2709
MaxCHuimBitmax,connect,0.25,22505318,90021272,2,52031.05,360244,203812,571484,2709,84,57798,2709
MaxCHuimBitmax,connect,0.25,22505318,90021272,3,52340.03,240464,178371,443876,2709,84,57798,2709
MaxCHuim,connect,0.2,18004254,90021272,1,126285.15,147420,212679,356056,73934,643,202934,73934
MaxCHuim,connect,0.2,18004254,90021272,2,127901.10,158076,216328,363876,73934,643,202934,73934
MaxCHuim,connect,0.2,18004254,90021272,3,129383.10,157456,213017,363524,73934,643,202934,73934
MaxCHuimBitmax,connect,0.2,18004254,90021272,1,128700.81,163468,207399,359852,73934,643,202934,73934
MaxCHuimBitmax,connect,0.2,18004254,90021272,2,128277.48,151316,209387,356552,73934,643,202934,73934
MaxCHuimBitmax,connect,0.2,18004254,90021272,3,127848.35,158680,218754,363444,73934,643,202934,73934
MaxCHuim,chess,0.2,687504,3437520,1,2411.32,34516,29218,89348,11477,37,66620,11477
MaxCHuim,chess,0.2,687504,3437520,2,2385.29,40076,27452,95016,11477,37,66620,11477
MaxCHuim,chess,0.2,687504,3437520,3,2364.38,32044,30347,87064,11477,37,66620,11477
MaxCHuimBitmax,chess,0.2,687504,3437520,1,2280.78,44668,29239,99352,11477,37,66620,11477
MaxCHuimBitmax,chess,0.2,687504,3437520,2,2471.02,53712,23286,108648,11477,37,66620,11477
MaxCHuimBitmax,chess,0.2,687504,3437520,3,2459.35,37988,30474,92572,11477,37,66620,11477
MaxCHuim,chess,0.15,515628,3437520,1,25675.50,188788,169180,243656,294026,354,902525,294026
MaxCHuim,chess,0.15,515628,3437520,2,26178.71,173300,122188,228240,294026,354,902525,294026
MaxCHuim,chess,0.15,515628,3437520,3,26360.20,186868,107547,241764,294026,354,902525,294026
MaxCHuimBitmax,chess,0.15,515628,3437520,1,25632.32,188724,164274,243112,294026,354,902525,294026
MaxCHuimBitmax,chess,0.15,515628,3437520,2,26275.53,142420,112848,197328,294026,354,902525,294026
MaxCHuimBitmax,chess,0.15,515628,3437520,3,25815.59,190456,158768,245108,294026,354,902525,294026
MaxCHuim,chess,0.1,343752,3437520,1,339294.63,1257008,1183950,1311616,5324125,4142,10331798,5324125
MaxCHuim,chess,0.1,343752,3437520,2,330045.69,1259396,1221174,1314500,5324125,4142,10331798,5324125
MaxCHuim,chess,0.1,343752,3437520,3,332274.61,1259772,1133019,1314996,5324125,4142,10331798,5324125
MaxCHuimBitmax,chess,0.1,343752,3437520,1,300241.72,1233252,1163569,1287580,5324125,4142,10331798,5324125
MaxCHuimBitmax,chess,0.1,343752,3437520,2,293648.66,1224512,1153074,1279208,5324125,4142,10331798,5324125
MaxCHuimBitmax,chess,0.1,343752,3437520,3,298337.89,1220936,1121443,1275592,5324125,4142,10331798,5324125
MaxCHuim,mushroom,0.007,37928,5418324,1,5575.79,60632,49179,121780,96953,6707,118595,96953
MaxCHuim,mushroom,0.007,37928,5418324,2,5636.13,56832,59800,118456,96953,6707,118595,96953
MaxCHuim,mushroom,0.007,37928,5418324,3,5555.51,60052,41803,120996,96953,6707,118595,96953
MaxCHuimBitmax,mushroom,0.007,37928,5418324,1,3066.04,55336,54171,116296,96953,6707,118595,96953
MaxCHuimBitmax,mushroom,0.007,37928,5418324,2,3120.39,61844,41236,122836,96953,6707,118595,96953
MaxCHuimBitmax,mushroom,0.007,37928,5418324,3,3106.48,61880,54431,122860,96953,6707,118595,96953
MaxCHuim,mushroom,0.005,27091,5418324,1,12252.41,71540,61093,132888,150353,11457,164226,150353
MaxCHuim,mushroom,0.005,27091,5418324,2,12077.42,68236,65305,129492,150353,11457,164226,150353
MaxCHuim,mushroom,0.005,27091,5418324,3,12352.59,71692,62165,132792,150353,11457,164226,150353
MaxCHuimBitmax,mushroom,0.005,27091,5418324,1,3760.81,72156,55232,133104,150353,11457,164226,150353
MaxCHuimBitmax,mushroom,0.005,27091,5418324,2,3748.90,73164,52716,134336,150353,11457,164226,150353
MaxCHuimBitmax,mushroom,0.005,27091,5418324,3,3771.00,72848,60934,134732,150353,11457,164226,150353
MaxCHuim,mushroom,0.003,16254,5418324,1,38649.56,91164,84388,152816,262742,20096,255209,262742
MaxCHuim,mushroom,0.003,16254,5418324,2,38565.57,96580,84096,157788,262742,20096,255209,262742
MaxCHuim,mushroom,0.003,16254,5418324,3,39013.29,93928,79720,155072,262742,20096,255209,262742
MaxCHuimBitmax,mushroom,0.003,16254,5418324,1,5461.97,98628,74641,159376,262742,20096,255209,262742
MaxCHuimBitmax,mushroom,0.003,16254,5418324,2,5479.60,96684,86335,157652,262742,20096,255209,262742
MaxCHuimBitmax,mushroom,0.003,16254,5418324,3,5549.27,104112,69841,164132,262742,20096,255209,262742
MaxCHuim,mushroom,0.001,5418,5418324,1,272418.49,167048,166555,228488,655181,45760,511375,655181
MaxCHuim,mushroom,0.001,5418,5418324,2,272537.23,173652,160451,235180,655181,45760,511375,655181
MaxCHuim,mushroom,0.001,5418,5418324,3,274014.89,179152,179571,240404,655181,45760,511375,655181
MaxCHuimBitmax,mushroom,0.001,5418,5418324,1,13235.92,175140,154113,236136,655181,45760,511375,655181
MaxCHuimBitmax,mushroom,0.001,5418,5418324,2,13236.42,170524,147000,232024,655181,45760,511375,655181
MaxCHuimBitmax,mushroom,0.001,5418,5418324,3,13295.11,173284,155722,234464,655181,45760,511375,655181
MaxCHuim,retail,0.00017,4342,25545604,1,33254.80,303000,317975,426116,12192,3138,17499,12192
MaxCHuim,retail,0.00017,4342,25545604,2,33394.82,341436,315962,440656,12192,3138,17499,12192
MaxCHuim,retail,0.00017,4342,25545604,3,33617.20,310612,313591,409124,12192,3138,17499,12192
MaxCHuimBitmax,retail,0.00017,4342,25545604,1,37076.57,444456,355227,543692,12192,3138,17499,12192
MaxCHuimBitmax,retail,0.00017,4342,25545604,2,37203.34,426960,365771,538908,12192,3138,17499,12192
MaxCHuimBitmax,retail,0.00017,4342,25545604,3,37272.98,445964,352134,546620,12192,3138,17499,12192
MaxCHuim,retail,0.00015,3831,25545604,1,35504.40,313472,319259,413036,14812,3791,22414,14812
MaxCHuim,retail,0.00015,3831,25545604,2,35294.25,317400,316701,440492,14812,3791,22414,14812
MaxCHuim,retail,0.00015,3831,25545604,3,41367.00,302532,315308,425432,14812,3791,22414,14812
MaxCHuimBitmax,retail,0.00015,3831,25545604,1,40905.12,385784,350053,484456,14812,3791,22414,14812
MaxCHuimBitmax,retail,0.00015,3831,25545604,2,40574.17,421304,439518,548228,14812,3791,22414,14812
MaxCHuimBitmax,retail,0.00015,3831,25545604,3,40662.86,393584,339577,492404,14812,3791,22414,14812
MaxCHuim,retail,0.00013,3320,25545604,1,37818.26,330140,315321,429024,18494,4699,30498,18494
